वाह!	Wow!
पार्टी कामयाब रही।	The party was successful.
ये किताबें काफ़ी पुरानी हैं।	These are very old books.
वे सब जिमखाने में मिले।	They gathered in the gym.
इस कीमत में टैक्स शामिल है।	This amount includes tax.
इस घर में छः कमरे हैं।	This house has six rooms.
यह उसके जितना बड़ा है।	This is as large as that.
यह रास्ता बहुत पतला है।	This road is very narrow.
टोक्यो बहुत बड़ा शहर है।	Tokyo is a very big city.
टॉम को अच्छे से तैरना आता है।	Tom is able to swim well.
हमारे पास पीने के लिए पानी नहीं था।	We had no water to drink.
हम भारत से चाय का आयात करते हैं।	We import tea from India.
हम हवा के बिना मर जाएँगे।	We would die without air.
क्या ढूँढ रहे हो?	What are you looking for?
कल रात क्या हुआ?	What happened last night?
उसको बहादुरी की ज़रूरत है।	What he lacks is courage.
तुम कौनसे स्कूल में पढ़ते हो?	What school do you go to?
तुम किस समय घर जाती हो?	What time do you go home?
तुम कितने बजे घर जाते हो?	What time do you go home?
तुम वापस कब आओगे?	When are you coming back?
तुम्हारी शादी कब हुई थी?	When did you get married?
आप वहाँ जाएँगे क्या?	Will you please go there?
हाँ, मुझे यह बहुत पसंद है।	Yes, I like it very much.
आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।	You have to wait in line.
तुमने मुझे पागल कर दिया।	You made me lose my mind.
A B से पाँचगुना लम्बा है।	A is 5 times as long as B.
आज सेव सस्ते बिक रहे थे।	Apples were on sale today.
मैं तो संतुष्ट हूँ।	As for me, I am satisfied.
तुम पार्टी में आ सकते हो क्या?	Can you come to the party?
कनाडा एक बड़ा देश है ।	Canada is a large country.
मेरे घर आठ बजे आना।	Come to my house at eight.
पुलीस ने टॉम को गिरफ़्तार किया क्या?	Did the police arrest Tom?
तुम परियों में विश्वास करते हो क्या?	Do you believe in fairies?
तुम परियों में विश्वास करती हो क्या?	Do you believe in fairies?
आपके पास इससे बड़े नाप का है क्या?	Do you have a larger size?
तुम साथ आना चाहते हो क्या?	Do you want to come along?
दरवाज़े को खुला मत छोड़ो।	Don't leave the door open.
तुम यहाँ पहले आए हुए हो क्या?	Have you been here before?
उसने अंग्रेज़ी सीखना शुरू किया।	He began to learn English.
वह अमरीका से वापस आ गया।	He came back from America.
वह ज़्यादा तेज़ नहीं भाग सकता था।	He couldn't run very fast.
वह तुम्हें समझता नहीं है।	He doesn't understand you.
उसने खिड़की पर ज़ोर लगाकर खटखटाया।	He hammered at the window.
उसके पास बहुत सारी इतिहास की किताबें हैं।	He has many history books.
उसने थोड़ी देर हिचकिचाया।	He hesitated for a moment.
वह मेरे पड़ोसियों में से एक है।	He is one of my neighbors.
उसे अपना स्कूल बहुत पसंद है।	He likes his school a lot.
वह सबका मज़ाक उड़ाता है।	He makes fun of everybody.
वह अक्सर गिटार बजाता है।	He often plays the guitar.
उसने मुझे लिखना सिखाया।	He taught me how to write.
हमने नदी के किनारे सैर करी।	He walked along the river.
वह किताब को खरीदना चाह्ता था।	He wanted to buy the book.
वह वहाँ जाने से डरता था।	He was afraid to go there.
वह बुखार से जल रहा था।	He was burning with fever.
वह आसमान की ओर देख रहा था।	He was looking at the sky.
उसे मौत की सज़ा दे दी गई।	He was sentenced to death.
उसने दुर्घटना को अपनी आँखों से देखा था।	He witnessed the accident.
वह उस दुर्घटना का चश्मदीद गवाह था।	He witnessed the accident.
वह बच्चे की तरह सो रहा है।	He's sleeping like a baby.
हो सकता है कि उसकी कहानी सच न हो।	His story may not be true.
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?	How can I meet this quota?
हमारे पास कितनी कटोरियाँ हैं?	How many bowls do we have?
आपके पास कितनी गाड़ियाँ हैं?	How many cars do you have?
भूख ने उसे चोरी करने पर मजबूर किया।	Hunger drove him to steal.
मैं अंग्रेज़ी पढ़ सकता हूँ।	I am able to read English.
मैं अंग्रेज़ी पढ़ सकती हूँ।	I am able to read English.
मैंने कल एक किताब खरीदी थी।	I bought a book yesterday.
मैं इस बार नहीं आ सकता।	I can't make it this time.
मैं और नहीं चल सकती।	I cannot walk any farther.
मुझे उसकी झलक दिखाई दी।	I caught a glimpse of her.
मुझे थोड़ा आराम करने का मन है।	I feel like taking a rest.
मैंने गाड़ी को कल ठीक किया था।	I fixed the car yesterday.
मुझे पता लगा कि वह कहाँ थी।	I found out where she was.
मैं रोज़ छः बजे उठता हूँ।	I get up at six every day.
मेरे पास फ़ेसबुक खाता है।	I have a Facebook account.
मेरे पास तुमसे मिलने के लिए समय नहीं है।	I have no time to see you.
मैंने टॉम को हाल में नहीं देखा है।	I haven't seen Tom lately.
मैंने उसे हाल में नहीं देखा है।	I haven't seen him lately.
मुझे गाड़ी चलाना आता है।	I know how to drive a car.
मैं उससे नाई के यहाँ मिला।	I met him at the barber's.
मैंने उसे दस डॉलर के लिए बेच दिया।	I sold it for ten dollars.
मैं आमतौर पर आठ बजे उठा करता हूँ।	I usually get up at eight.
मैं मैनेजर से मिलना चाह्ता हूँ।	I want to see the manager.
मैं मैनेजर से मिलना चाह्ती हूँ।	I want to see the manager.
मैं तुम्हारे साथ सफ़र करना चाहता हूँ।	I want to travel with you.
मुझे उसके मरने का डर था।	I was afraid he might die.
काश ये समस्या मुझे हुई होती।	I wish I had this problem.
काश ये मुसीबत मेरे पल्ले पड़ती।	I wish I had this problem.
मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।	I'll be there at five p.m.
मैं एक और तौलिया लाती हूँ।	I'll bring one more towel.
मैं अपने होमवर्क में लगा हुआ हूँ।	I'm busy with my homework.
मैं तुमसे निराश हूँ।	I'm disappointed with you.
मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।	I'm glad to see you again.
मुझे इतिहास में दिलचस्पी है।	I'm interested in history.
मैं छाया में खड़ा हूँ।	I'm standing in the shade.
मैं छाँओं में खड़ा हूँ।	I'm standing in the shade.
मैं अपनी माँ का इंतेज़ार कर रहा हूँ।	I'm waiting for my mother.
यह समस्या बहुत कठिन है।	It is a difficult problem.
पाँच से दस को जोड़ना बहुत आसान है।	It is easy to add 5 to 10.
नौ बज चुकें हैं।	It's already nine o'clock.
यह मेरे दोस्त के लिए है।	It's for a friend of mine.
इस दोपहर को मिलते हैं।	Let's meet this afternoon.
क्या मैं चंद सवाल पूछ सकती हूँ?	May I ask a few questions?
मम्मी ने मेरे लिए वह किताब खरीदी।	Mother bought me the book.
मेरा भाई टोक्यो में रहता है।	My brother lives in Tokyo.
मेरे पिता शायद सो रहे होंगे।	My father may be sleeping.
मेरे पिता ने सिगरेट पीना बंद कर दिया।	My father stopped smoking.
मेरा दाहिना पैर सो गया है।	My right foot is sleeping.
मेरी बीवी को बिल्लियों से नफ़रत है।	My wife really hates cats.
दूसरों की बुराई कभी नहीं करनी चाहिए।	Never speak ill of others.
मेरी एक अटैची ग़ायब है।	One of my bags is missing.
मुझे अपनी एक अटैची मिल नहीं रही है।	One of my bags is missing.
स्कूल साढ़े-आठ बजे शुरू होता है।	School begins at 8:30 a.m.
उसने सब कुछ अपने-आप किया।	She did it all by herself.
वह अभी तक यहाँ नहीं आई है।	She has not come here yet.
उसने तस्वीर को देखा।	She looked at the picture.
उसने मुझे अपनी नई गाड़ी दिखाई।	She showed me her new car.
स्मॉग से पेड़-पौधों की मौत होती है।	Smog causes plants to die.
कुछ सांप ज़हरीले होते हैं।	Some snakes are poisonous.
तोहफ़े के लिए धन्यवाद।	Thank you for the present.
दुश्मन पास नहीं आ पाएगा।	The enemy won't get close.
लंदन में धुंध छा गई थी।	The haze enveloped London.
राजा ने अपनी ताकत का दुरुपयोग किया।	The king abused his power.
क़ैदी को रिहा कर दिया गया।	The prisoner was released.
मेरे कमरे में टीवी नहीं है।	There is no TV in my room.
कोई और रास्ता भी होगा।	There must be another way.
ये सेब बहुत बड़े हैं।	These are very big apples.
वे फ़िल्म देख रहे हैं।	They are watching a movie.
उन्होंने एक-दूसरे को देखा।	They looked at each other.
यह मेज़ लकड़ी की बनी है।	This desk is made of wood.
मेरे पापा का घर है।	This is my father's house.
आज स्वतंत्रता दिवस है।	Today is Independence Day.
टॉम खुद को रोने से रोक न सका।	Tom couldn't help but cry.
टॉम रो पड़ा।	Tom couldn't help but cry.
यहाँ बीस परिवार बसे हुए हैं।	Twenty families live here.
हम सब टॉम के लिए दुःखी थे।	We all felt sorry for Tom.
हमने दरवाज़े को हरे रंग से पोत दिया।	We painted the door green.
हम उसे अपना हीरो मानते हैं।	We regard him as our hero.
हम तालाब के आस-पास टहलें।	We walked around the pond.
आपकी रक्षा करना हमारा काम है।	We're here to protect you.
हम आपकी रक्षा करने के लिए यहाँ आए हैं।	We're here to protect you.
वह कितना नसीबवाला है!	What a lucky person he is!
तुमने कल क्या किया?	What did you do yesterday?
तुम मुझसे क्या करवाना चाहते हो?	What do you want me to do?
तुम्हारा सबसे पसंदीता खाना कौनसा है?	What's your favorite food?
कपड़े बदलने का कमरा कहाँ पर है?	Where's the changing room?
मुझसे बात क्यों कर रहे हो?	Why are you talking to me?
मेरे लिए थोड़ी जगह बनाओगे क्या?	Will you make room for me?
मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?	Would you mind if I smoke?
कल मेरा जन्मदिन था।	Yesterday was my birthday.
तुम थक गए हो, है ना?	You are tired, aren't you?
तुम्हे तुरंत जाना चाहिए।	You had better go at once.
तुम्हारे पास एक कुत्ता है, है न?	You keep a dog, don't you?
कौआ कोयले जैसा काला होता है।	A crow is as black as coal.
दरवाज़े पर एक आदमी दिखाई दिया।	A man appeared at the door.
मुझसे कल फिर आकर मिलना।	Come see me again tomorrow.
आपके पास अपौइंटमेंट है क्या?	Do you have an appointment?
मुझे वापस फ़ोन करना मत भूलना।	Don't fail to call me back.
ऐसा मत बोलो।	Don't say things like that.
उन सभी के पास साईकल है।	Each of them has a bicycle.
पापा फूलों को पानी दे रहे हैं।	Father is watering flowers.
ग्रीक लोग भी अक्सर मछली खाते हैं।	Greeks often eat fish, too.
तुमने कभी क्वाला देखा है?	Have you ever seen a koala?
उसने मुझसे थोड़े पैसे माँगे।	He asked me for some money.
वह पुलिस अफ़सर बन गया।	He became a police officer.
मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है।	He believes whatever I say.
उसने सिगरेट पीना छोड़ने का फ़ैसला किया।	He decided to quit smoking.
उसने काम अपने-आप किया।	He did the work on his own.
उसकी मेरी बहन के साथ सगाई हो चुकी है।	He is engaged to my sister.
वह कभी-कभार मुझसे मिलने आता था।	He occasionally visited me.
उसने दरवाज़े के पास एक कुत्ता देखा।	He saw a dog near the door.
वह आमतौर पर घर देर से आता है।	He usually comes home late.
वह पिछले साल क्योटो गया था।	He visited Kyoto last year.
वह क्लास में हमेशा देर से आता है।	He's always late for class.
उसकी राय बेकार है।	His opinions are worthless.
ईमानदारी सर्वोत्तम नीति है।	Honesty is the best policy.
वह कितने दिनों से बीमार है?	How long has she been sick?
तुम्हारे पास कितनी किताबें हैं?	How many books do you have?
मुझे अंग्रेज़ी में दिलचस्पी है।	I am interested in English.
मैं आमतौर के मुकाबले में देर से आया।	I arrived later than usual.
वह जो भी कहे, मुझे उस पर यकीन है।	I believe whatever he says.
मैंने दो दर्जन पेनसिलें खरीदीं।	I bought two dozen pencils.
मुझसे और काम नहीं किया जाएगा।	I can't take any more work.
मैं रोज़ बीस मील चलता हूँ।	I cover twenty miles a day.
मैं उसका बिलकुल भी यकीन नहीं करता।	I don't believe him at all.
वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।	I don't care what they say.
मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।	I don't know what to study.
मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।	I had to decline his offer.
मैं टॉम और जॉन के बीच में बैठा।	I sat between Tom and John.
मैं ४ जून, १९७४ को पैदा हुआ था।	I was born on June 4, 1974.
मैं पिछले महीने लंदन में था।	I was in London last month.
मैं शहर का नक्शा खरीदना चाहता हूँ।	I'd like a map of the city.
मैं निकम्मा हूँ।	I'm a good-for-nothing bum.
मैं एक बूढ़े आदमी की तलाश मे हूँ।	I'm looking for an old man.
चूहा ज़िन्दा है या मर गया है?	Is the mouse dead or alive?
यहाँ पर मुश्किल से कभी बारिश होती है।	It hardly ever rains there.
कहा जाता है कि वह बीमार है।	It is said that he is sick.
मुझे बहुत मज़ेदार लगती है!	It seems interesting to me.
मुझे बहुत दिलचस्प लगती है!	It seems interesting to me.
मुसलाधार बारिश होती है।	It's raining cats and dogs.
मुसलाधार वर्षा होती है।	It's raining cats and dogs.
सब लोगों के लिए एक समान है।	It's the same for everyone.
मेरी बुआ-जी मेरे लिए फूल लाईं।	My aunt brought me flowers.
मेरे बॉस "हाँ" नहीं कहेंगे।	My boss will not say 'yes'.
हमारी ट्रेन अचानक रुक गई।	Our train stopped suddenly.
जहाँ भी रखना है रखदो।	Place it wherever you like.
वह अपने कुत्ते को खिलाना भूल गई।	She forgot to feed her dog.
उसके हाथ-पैर लम्बे हैं।	She has long arms and legs.
वह बुखार के साथ बिस्तर में लेटी हुई है।	She is in bed with a fever.
उसको कहानी पहले से ही पता थी।	She knew the story already.
उसे अपना स्कूल बहुत पसंद है।	She likes her school a lot.
वह टेनिस बहुत अच्छा खेलती है।	She plays tennis very well.
वह अचानक से मशहूर बन गई।	She suddenly became famous.
वह अपने कमरे में रो रही थी।	She was crying in her room.
अपना अच्छे से ख़याल रखना।	Take good care of yourself.
यह तो बहुत ही अच्छा सुझाव है।	That's really a great idea.
उसे जो डब्बा मिला वह खाली था।	The box he found was empty.
दुल्हन अचानक से हँस पड़ी।	The bride suddenly laughed.
उस आदमी ने मुझे सर पर मारा।	The man hit me on the head.
इस दवाई का स्वाद बहुत कड़वा है।	The medicine tastes bitter.
उसके जूतों पर कीचड़ लगी हुई थी।	The mud clung to his shoes.
यह उपन्यास बहुत रोमांचक है।	The novel is very exciting.
पेंट अभी तक सूखा नहीं है।	The paint hasn't dried yet.
बरसात पूरे दिन होती रही।	The rain continued all day.
यह पानी पिया नहीं जा सकता है।	The water is not drinkable.
मेज़ पर बस्ता रखा हुआ है।	There is a bag on the desk.
यह गाड़ी जापान में बनी थी।	This car was made in Japan.
यह वर्षा ऋतु का मौसम है।	This is the monsoon season.
यह शब्द ग्रीक से आता है।	This word comes from Greek.
टॉम और मैं दोनों वहाँ रहेंगे।	Tom and I'll both be there.
टॉम, मुझे तुमसे बात करनी है।	Tom, I want to talk to you.
बत्ती बंद करदो, प्लीज़।	Turn off the light, please.
कृपया बत्ती बंद कर दीजिए।	Turn off the light, please.
हम सब उसके मज़ाक पर हँसे।	We all laughed at his joke.
हमने उसका जन्मदिन मनाया।	We celebrated his birthday.
हमें नहीं पता हम कहाँ हैं।	We don't know where we are.
हमे अपना वादा निभाना चाहिए।	We should keep our promise.
हमने उस उम्मीदवार को चुना।	We voted for the candidate.
हमने उस उम्मीदवार को अपना मत दिया।	We voted for the candidate.
हमे केवल सम्पूर्ण वाक्य चाहिएँ।	We want complete sentences.
हमने उसका हिसाब लगा लिया।	We've got that figured out.
मेरी बात ने उसके अभिमान पर चोट पहुँचाई।	What I said hurt his pride.
इस पक्षी का नाम क्या है?	What do you call this bird?
हमारे औरडर का क्या हुआ?	What happened to our order?
सारा ब्रॅड कहाँ चला गया?	Where did all the bread go?
कपड़े बदलने का कमरा कहाँ पर है?	Where is the changing room?
तुम मेरी बात सुनते क्यों नहीं हो?	Why don't you listen to me?
बत्ती चालू कर दोगे क्या?	Will you turn on the light?
तुम हमेशा शिकायत करते रहते हो।	You are always complaining.
आप गलत ट्रेन पर हैं।	You are on the wrong train.
एक दिन में चौबीस घंटे होते हैं।	A day has twenty-four hours.
आप इसके हित में हैं या नहीं?	Are you for or against this?
हम आखिरकार झील तक पहुँच गए।	At last, we got to the lake.
अगली बार अपनी बहन को भी साथ लाना।	Bring your sister next time.
क्या तुम मुझे उड़ना सिखा सकते हो?	Can you teach me how to fly?
कनाडा जापान से बड़ा है।	Canada is larger than Japan.
थोड़ा धीरे बोल सकते हैं क्या?	Could you speak more slowly?
तुम्हारे पास कोक-शोक है क्या?	Do you have any soft drinks?
तुम्हारे पास मंगलवार को समय है क्या?	Do you have time on Tuesday?
आपको कहीं जाना है?	Do you want to go somewhere?
तुम्हें कहीं जाना है?	Do you want to go somewhere?
सब टॉम के लिए दुःखी थे I	Everyone felt sorry for Tom.
सभी उसकी अच्छाई करते है।	Everyone speaks well of him.
फ़्रान्स पश्चिमी यूरोप में है।	France is in Western Europe.
फ़्रान्स पश्चिमी यूरोप में है।	France is in western Europe.
उसने अचानक से दरवाज़ा बंद किया।	He closed the door suddenly.
वह लम्बी सांस नहीं ले पाता था।	He could not breathe deeply.
उसको तैरना नहीं आता।	He doesn't know how to swim.
उसने मुझे वह नियम समझाया।	He explained the rule to me.
वह अपनी क़ब्र खोद रहा है।	He is digging his own grave.
वह हर रोज़ बेसबॉल खेलता है।	He plays baseball every day.
उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।	He prefers French to German.
उसने यह किताब कल पढ़ी थी।	He read this book yesterday.
उसने अपना नाम दोबारा धीरे से बोला।	He repeated his name slowly.
वह मुझसे ग़ुलाम की तरह बर्ताव करता है।	He treats me like his slave.
वह मेरे बजाय वहां गया।	He went there instead of me.
उसका जन्मदिन इक्कीस अगस्त को है।	His birthday is August 21st.
आप यहाँ कितने दिन रहेंगे?	How long will you stay here?
मैं उसके साथ सैर के लिए गया।	I accompanied her on a walk.
मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।	I believe you like your job.
मैं पिछले रविवार बाहर नहीं निकला था।	I didn't go out last Sunday.
मुझे नहीं पता कि उसको पता है कि नहीं।	I don't know if he knows it.
मुझे नहीं पता कि टॉम को क्या पता है।	I don't know what Tom knows.
मुझे नहीं पता कि उन्हें क्या पता है।	I don't know what they know.
मेने उसे नियम समझाया।	I explained the rule to him.
मेरे पास जो भी पैसे थे मैंने उसे दे दिए।	I gave him what money I had.
मैंने उसे पहले कभी नहीं देखा था।	I had never seen him before.
मैं अपना काम कर चुका हूँ।	I have already done my work.
मैंने अपना कमरा अभी अभी साफ़ किया है।	I have just cleaned my room.
मैंने उसे तीन बार देखा है।	I have seen her three times.
मुझे उसकी चिट्ठी का जवाब देना है।	I have to answer his letter.
मैं कल तुम्हारे पिताजी से मिला।	I met your father yesterday.
मुझे सायकल चलाना चलने से ज़्यादा पसंद है।	I prefer walking to cycling.
मैंने उसे सड़क पार करते हुए देखा।	I saw him crossing the road.
मेरा जन्म सन १९७७ में ओसाका में हुआ था।	I was born in Osaka in 1977.
मैं कल उससे मिलने जाऊँगा।	I will call on him tomorrow.
मैं इस रविवार को ड्यूटी पर हूँगा।	I'll be on duty this Sunday.
माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।	I'm sorry, my father is out.
जहाँ भी घुसाना है घुसा दो।	Insert it wherever you like.
लोहा एक बहुत उपयोगी धातु है।	Iron is a very useful metal.
मेक्सिको में स्पैनिश बोली जाती है क्या?	Is Spanish spoken in Mexico?
तकरीबन दस एक अरब येन होंगे?	Is it about ten million yen?
अंग्रेज़ी बोलना मुश्किल होता है क्या?	Is it hard to speak English?
यह सरासर समय की बर्बादी है।	It is a sheer waste of time.
यह मेरे लिए करना बहुत आसान था।	It was easy for me to do so.
वह मेरे लिए बहुत कठिन था।	It was too difficult for me.
मानो कोई सपना सच आ गया हो।	It's like a dream come true.
हमें अपने खर्चे कम करने होंगे।	Let's cut down our expenses.
मेरी को स्पा जाना पसंद है।	Mary loves going to the spa.
मेरी जीन्स पैंट धुलाई में सिकुड़ गई।	My jeans shrank in the wash.
जवाब न देना भी एक तरह का जवाब होता है।	No answer is also an answer.
उस बड़े डब्बे को कोई भी नहीं हिला सकता।	No one can move the big box.
किसी ने भी मेरे सवाल का जवाब नहीं दिया।	Nobody answered my question.
किसी और ने मदद करने की इच्छा प्रकट नहीं करी।	Nobody else offered to help.
मुझे एक कप चाय दीजिए।	Please give me a cup of tea.
कृपया धीमी आवाज़ में बात कीजिए।	Please speak in a low voice.
कृपया हल्की आवाज़ में बात कीजिए।	Please speak in a low voice.
देखो बाहर क्या हो रहा है।	See what's going on outside.
उसने उसको अकेले जाने दिया।	She allowed him to go alone.
उसने आमंत्रण को स्वीकार नहीं किया।	She declined the invitation.
उसने गलत नम्बर मिला डाला।	She dialed the wrong number.
उसने कहा कि वह खुश थी।	She said that she was happy.
उसने सौ डॉलर बचा लिए।	She saved a hundred dollars.
उसका पर्स उससे चुरा लिया गया।	She was robbed of her purse.
वह अपने बालों को जूड़े में बाँधती है।	She wears her hair in a bun.
यहाँ धूम्रपान करना मना है।	Smoking is not allowed here.
सिपाहियों को खतरे से खेलने की आदत होती है।	Soldiers are used to danger.
किसी ने दरवाज़े पर खटखटाया।	Someone knocked on the door.
मेक्सिको में स्पैनिश बोली जाती है।	Spanish is spoken in Mexico.
अंग्रेज़ी बोलना आसान नहीं है।	Speaking English isn't easy.
शांति से खड़े रहो।	Stand still and keep silent.
अपने मोज़े उतारिए।	Take off your socks, please.
दस घर जलकर राख हो गए।	Ten houses were burned down.
उस दिन के लिए बहुत बहुत धन्यवाद।	Thank you for the other day.
डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।	Thank you very much, doctor.
वह नगर दो मील दूर है।	That town is two miles away.
वह नगर दो मील की दूरी पर है।	That town is two miles away.
जापानियों की आँखें कालीं होतीं हैं।	The Japanese have dark eyes.
गरम पानी नहीं चल रहा है।	The hot water isn't running.
कमरे में तम्बाकू की महक थी।	The room smelled of tobacco.
दुकान आज बंद है।	The store is not open today.
दुकान आज खुली नहीं है।	The store is not open today.
मेज़ पर किताब है।	There is a book on the desk.
वे दोनों अच्छे अध्यापक हैं।	They are both good teachers.
इस मकान में ग्यारह कमरे हैं।	This house has eleven rooms.
यह असली हीरा होगा।	This must be a real diamond.
आज मैं चार साल का हो गया हूँ।	Today I turn four years old.
टॉम अभी गाड़ी नहीं चला सकता।	Tom isn't able to drive yet.
टॉम ने उसे आग से बचा लिया।	Tom saved her from the fire.
अपनी अंग्रेज़ी सुधारने की कोशिश करो।	Try to improve your English.
हम चाय चीनी के साथ लेते हैं।	We drink our tea with sugar.
हम चाय चीनी डालकर पीते हैं।	We drink our tea with sugar.
हमने बड़ी मौज करी।	We really enjoyed ourselves.
हम पड़ोसी हुआ करते थे।	We were next-door neighbors.
तुम यहाँ क्यों आए हो?	What have you come here for?
आप लोग यहाँ क्या करने के लिए आए हैं?	What have you come here for?
दक्षिण टर्मिनल कहाँ पर है?	Where is the south terminal?
आप कहाँ बैठना चाहेंगे?	Where would you like to sit?
तुम हमसे मिलने क्यों नहीं आते?	Why don't you come visit us?
तुम विदेश जाना चाहती हो क्या?	Would you like to go abroad?
तुम नहीं आ रहे हो ना?	You are not coming, are you?
तुम उस ड्रेस में अच्छी लगती हो।	You look nice in that dress.
अपने दफ़्तर को हमेशा साफ़-सुथरा रखना चाहिए।	Always keep your office tidy.
वे जापानी हैं या चीनी?	Are they Japanese or Chinese?
तुम यहाँ किसी से मिल रहे हो क्या?	Are you meeting someone here?
खाना खाने के बाद दाँतों को साफ़ करो।	Brush your teeth after meals.
खाना खाने के बाद दाँतों को ब्रश करो।	Brush your teeth after meals.
रेखांकित शब्दों को सुधारिए।	Correct the underlined words.
तुम्हारे पास टिकटें बचीं हैं क्या?	Do you have any tickets left?
तुम्हे भाषण देना होगा क्या?	Do you have to make a speech?
क्या आपको पता है उसने क्या किया है?	Do you know what he has done?
बच्चे को ज़बरदस्ती मत खिलाओ।	Don't force the child to eat.
इस दीवार पर मत झुँको।	Don't lean against this wall.
अमेरिका में अंग्रेजी बोली जाती है।	English is spoken in America.
फ़ुटबॉल मेरा सबसे पसंदीता खेल है।	Football is my favorite game.
तुम कभी अफ़्रीका गए हुए हो क्या?	Have you ever been to Africa?
आप कभी अफ़्रीका गए हुए हैं क्या?	Have you ever been to Africa?
तुम कभी कनाडा गए हो क्या?	Have you ever been to Canada?
आपने कभी किताब लिखी है क्या?	Have you ever written a book?
तुम्हारे गुलाब खिल गए हैं क्या?	Have your roses come out yet?
वह कल तुमसे मिलने आया था।	He came to see you yesterday.
उसने पिछले साल स्कूल बदला था।	He changed schools last year.
उसके पास जीने के लिए ज़्यादा समय नहीं है।	He doesn't have long to live.
वह कैनटीन में लन्च खाता है।	He eats lunch at a cafeteria.
वह टेनिस अच्छा खेलता है।	He is good at playing tennis.
उसने अपने बेटे को कान से पकड़ कर खींचा।	He pulled his son by the ear.
उसने अपने ही घर को आग लगा दी।	He set fire to his own house.
उसे ये कमीज़ें धुलवानीं हैं।	He wants these shirts washed.
उसकी डॉक्टर बनने की अभिलाषा है।	He wishes to become a doctor.
वे काम से शहर से बाहर गए हुएँ हैं।	He's out of town on business.
उसके कपड़े हमेशा बदबू करतें हैं।	His clothes always smell bad.
उसका लम्बा भाषण सुनकर हम सब बोर हो गए।	His long speech bored us all.
तुम उसे कैसे जानते थे?	How did you come to know her?
मेरे ख़याल से तुम्हे सिगरेट पीना छोड़ देना चहिए।	I advise you to stop smoking.
मैं तुम्हे सिगरेट पीना छोड़ देने की सलाह देना चाह्ता हूँ।	I advise you to stop smoking.
मैं तुम्हारे साथ एक हद तक सहमत हूँ।	I agree with you to a degree.
मैं तुमसे ज़्यादा खूबसूरत हूँ।	I am more beautiful than you.
मैं तुमसे ज़्यादा सुंदर हूँ।	I am more beautiful than you.
मैं नतीजे से खुश हूँ।	I am pleased with the result.
मैंने दूध की दो बोतलें ख़रीदीं।	I bought two bottles of milk.
मैं तुम्हें यह करने नहीं दे सकता।	I can't allow you to do that.
मैं उस बारे में कुछ बोल नहीं सकता।	I can't really talk about it.
मैं नहीं चाहता था कि ऐसा हो।	I didn't want this to happen.
मुझे अभी खाना खाने का मन नहीं है।	I don't feel like eating now.
मुझे कॉफ़ी पीना पसंद नहीं।	I don't like to drink coffee.
मैंने हिरण के पैरों के निशानों का पीछा किया।	I followed the deer's tracks.
मैंने एक साल के लिए सिगरेट पीना छोड़ दिया था।	I gave up smoking for a year.
मुझे पीठ में बुरी तरह से दर्द हो रहा है।	I have a bad pain in my back.
मैंने उसको अपनी कामयाबी के बारे में बताया।	I informed her of my success.
मुझे विज्ञान और गणित दोनों पसंद हैं।	I like both science and math.
मैंने उसके साथ तुम्हारा नाम लिया था।	I mentioned your name to him.
सब लोग मुझपर हँसे।	I was laughed at by everyone.
मैं वहाँ दसियों बार जा चुका हूँ।	I went there dozens of times.
मैंने पूरे दिन खेत में काम किया।	I worked on the farm all day.
मैं उसकी सुरक्षा के लिए परेशान हूँ।	I'm anxious about his safety.
मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।	I'm catching the 11:00 train.
वह ईमानदार लगता है।	It appears that he is honest.
छोटी उम्र में मरना उसके भाग्य में था।	It was her fate to die young.
यह उसकी चिट्ठी का जवाब है।	It's an answer to her letter.
उससे बहस करने में कोई फ़ायदा नहीं है।	It's no use arguing with him.
नीचे रहो, नहीं तो तुम्हें गोली लग जाएगी।	Keep down, or you'll be shot.
ज़्यादातर लोगों को टीवी देखना अच्छा लगता है।	Most people like watching TV.
मेरे भाई की याददाश्त अच्छी है।	My brother has a good memory.
मेरे पापा अभी अभी घर वापस आएँ हैं।	My father has just come home.
मेरी नानी धीरे-धीरे बोलतीं हैं।	My grandmother speaks slowly.
सिक्कों को इकट्ठा करना मेरा शौक है।	My hobby is collecting coins.
मेरा फ़ोन खराब है।	My telephone is out of order.
अब उनके तीन बच्चे हैं।	Now they have three children.
एक भाषा कभी काफ़ी नहीं होती।	One language is never enough.
इसको अपना घर ही समझो।	Please make yourself at home.
